aide,ident,annee,init,calib,valeur
garantie,MA_BAG_NON_I,2020,0.0,0.0,0.0
garantie,MA_BAG_NON_I,2021,0.0,0.0,0.0
garantie,MA_BAG_NON_I,2022,0.0,0.0,0.0
garantie,MA_BAG_NON_NI,2017,0.0,0.0,0.0
garantie,MA_BAG_NON_NI,2018,0.0,0.0,0.0
garantie,MA_BAG_NON_NI,2019,0.0,0.0,0.0
garantie,MA_BAG_NON_NI,2020,0.0,0.0,0.0
garantie,MA_BAG_NON_NI,2021,0.0,0.0,0.0
garantie,MA_BAG_NON_NI,2022,0.0,0.0,0.0
garantie,MA_BRF_BIO_I,2017,0.0,0.0,0.0
garantie,MA_BRF_BIO_I,2018,0.0,0.0,0.0
garantie,MA_BRF_BIO_I,2019,0.0,0.0,0.0
garantie,MA_BRF_BIO_I,2020,0.0,0.0,0.0
garantie,MA_BRF_BIO_I,2021,0.0,0.0,0.0
garantie,MA_BRF_BIO_I,2022,0.0,0.0,0.0
garantie,MA_BRF_BIO_NI,2017,0.0,0.0,0.0
garantie,MA_BRF_BIO_NI,2018,0.0,0.0,0.0
garantie,MA_BRF_BIO_NI,2019,0.0,0.0,0.0
garantie,MA_BRF_BIO_NI,2020,0.0,0.0,0.0
garantie,MA_BRF_BIO_NI,2021,0.0,0.0,0.0
garantie,MA_BRF_BIO_NI,2022,0.0,0.0,0.0
garantie,MA_BRF_VEG_I,2017,0.0,0.0,0.0
garantie,MA_BRF_VEG_I,2018,0.0,0.0,0.0
garantie,MA_BRF_VEG_I,2019,0.0,0.0,0.0
garantie,MA_BRF_VEG_I,2020,0.0,0.0,0.0
garantie,MA_BRF_VEG_I,2021,0.0,0.0,0.0
garantie,MA_BRF_VEG_I,2022,0.0,0.0,0.0
garantie,MA_BRF_VEG_NI,2017,0.0,0.0,0.0
garantie,MA_BRF_VEG_NI,2018,0.0,0.0,0.0
garantie,MA_BRF_VEG_NI,2019,0.0,0.0,0.0
garantie,MA_BRF_VEG_NI,2020,0.0,0.0,0.0
garantie,MA_BRF_VEG_NI,2021,0.0,0.0,0.0
garantie,MA_BRF_VEG_NI,2022,0.0,0.0,0.0
garantie,MA_BRF_FER_I,2017,0.0,0.0,0.0
garantie,MA_BRF_FER_I,2018,0.0,0.0,0.0
garantie,MA_BRF_FER_I,2019,0.0,0.0,0.0
garantie,MA_BRF_FER_I,2020,0.0,0.0,0.0
garantie,MA_BRF_FER_I,2021,0.0,0.0,0.0
garantie,MA_BRF_FER_I,2022,0.0,0.0,0.0
garantie,MA_BRF_FER_NI,2017,0.0,0.0,0.0
garantie,MA_BRF_FER_NI,2018,0.0,0.0,0.0
garantie,MA_BRF_FER_NI,2019,0.0,0.0,0.0
garantie,MA_BRF_FER_NI,2020,0.0,0.0,0.0
garantie,MA_BRF_FER_NI,2021,0.0,0.0,0.0
garantie,MA_BRF_FER_NI,2022,0.0,0.0,0.0
garantie,MA_BRF_NON_I,2017,0.0,0.0,0.0
garantie,MA_BRF_NON_I,2018,0.0,0.0,0.0
garantie,MA_BRF_NON_I,2019,0.0,0.0,0.0
garantie,MA_BRF_NON_I,2020,0.0,0.0,0.0
garantie,MA_BRF_NON_I,2021,0.0,0.0,0.0
garantie,MA_BRF_NON_I,2022,0.0,0.0,0.0
garantie,MA_BRF_NON_NI,2017,0.0,0.0,0.0
garantie,MA_BRF_NON_NI,2018,0.0,0.0,0.0
garantie,MA_BRF_NON_NI,2019,0.0,0.0,0.0
garantie,MA_BRF_NON_NI,2020,0.0,0.0,0.0
garantie,MA_BRF_NON_NI,2021,0.0,0.0,0.0
garantie,MA_BRF_NON_NI,2022,0.0,0.0,0.0
garantie,MA_PAI_BIO_I,2017,0.0,0.0,0.0
garantie,MA_PAI_BIO_I,2018,0.0,0.0,0.0
garantie,MA_PAI_BIO_I,2019,0.0,0.0,0.0
garantie,MA_PAI_BIO_I,2020,0.0,0.0,0.0
garantie,MA_PAI_BIO_I,2021,0.0,0.0,0.0
garantie,MA_PAI_BIO_I,2022,0.0,0.0,0.0
garantie,MA_PAI_BIO_NI,2017,0.0,0.0,0.0
garantie,MA_PAI_BIO_NI,2018,0.0,0.0,0.0
garantie,MA_PAI_BIO_NI,2019,0.0,0.0,0.0
garantie,MA_PAI_BIO_NI,2020,0.0,0.0,0.0
garantie,MA_PAI_BIO_NI,2021,0.0,0.0,0.0
garantie,MA_PAI_BIO_NI,2022,0.0,0.0,0.0
garantie,MA_PAI_VEG_I,2017,0.0,0.0,0.0
garantie,MA_PAI_VEG_I,2018,0.0,0.0,0.0
garantie,MA_PAI_VEG_I,2019,0.0,0.0,0.0
garantie,MA_PAI_VEG_I,2020,0.0,0.0,0.0
garantie,MA_PAI_VEG_I,2021,0.0,0.0,0.0
garantie,MA_PAI_VEG_I,2022,0.0,0.0,0.0
garantie,MA_PAI_VEG_NI,2017,0.0,0.0,0.0
garantie,MA_PAI_VEG_NI,2018,0.0,0.0,0.0
garantie,MA_PAI_VEG_NI,2019,0.0,0.0,0.0
garantie,MA_PAI_VEG_NI,2020,0.0,0.0,0.0
garantie,MA_PAI_VEG_NI,2021,0.0,0.0,0.0
garantie,MA_PAI_VEG_NI,2022,0.0,0.0,0.0
garantie,MA_PAI_FER_I,2017,0.0,0.0,0.0
garantie,MA_PAI_FER_I,2018,0.0,0.0,0.0
garantie,MA_PAI_FER_I,2019,0.0,0.0,0.0
garantie,MA_PAI_FER_I,2020,0.0,0.0,0.0
garantie,MA_PAI_FER_I,2021,0.0,0.0,0.0
garantie,MA_PAI_FER_I,2022,0.0,0.0,0.0
garantie,MA_PAI_FER_NI,2017,0.0,0.0,0.0
garantie,MA_PAI_FER_NI,2018,0.0,0.0,0.0
garantie,MA_PAI_FER_NI,2019,0.0,0.0,0.0
